article,reason,comment
Bushmaster XM-15,copyright,"WP:CP + 10 days or more; content was: '{{copyvio|url=http://www.bushmaster.com/shopping/weapons/pcwvms20ah.asp}}--[[User:Rbrwr|rbrwr]][[User talk:Rbrwr|&lt;sup&gt;&plusmn;&lt;/sup&gt;]] 20:51, 10 Dec...'"
Electroactive polymers,copyright,WP:CP + 10 days or more; content was: '{{copyvio|url=http://www.azom.com/details.asp?ArticleID=885}}'
Time/Parmenides,copyright,WP:CP listed since 12 Dec; content was: '{{copyvio|url=http://www-personal.ksu.edu/~lyman/english233/g-Parmenides.htm}}'
Chengdu J-10,copyright,WP:CP listed since 13 Dec; content was: '{{copyvio|url=http://home.iae.nl/users/wbergmns/info/j10.htm}}'
Haydar Ergülen,copyright,WP:CP listed since 17 Dec; content was: '{{copyvio|url=http://www.turkish-lit.boun.edu.tr/author.asp?CharSet=Turkish&ID=100 }}'
Peter Breggin,copyright,WP:CP since 17 Dec; content was: '{{copyvio|url=http://www.theadvocates.org/celebrities/peter-breggin.html}}'
Lebanese Forces,copyright,WP:CP since 17 Dec; ccontent was: '{{copyvio|url=http://www.lebaneseforces.com/about.asp}}'
Charles Bent,copyright,WP:CP listed since 16 Dec; content was: '{{copyvio1}}'''Text dump from unknown source.'''{{copyvio2}}'
Segmented Addressing,copyright,"WP:CP listed since 17 Dec; content was: '{{copyvio|url=page 19 of http://www.intel.com/design/intarch/manuals/27320401.pdf}}  [[User:Brona|Brona]] 03:59, 17 Dec 2004 (UTC)'"
Superstar in a Housedress,copyright,WP:CP listed since 17 Dec; content was: '{{copyvio|url=http://imdb.com/rg/title-tease/plotsummary/title/tt0396240/plotsummary}}'
Pierre Gemayel,copyright,Copyvio.  Mine (I didn't realize it at the time).  Any rewrite of the article will contain the copyvio in the edit history.
Mihaly Csikszentmihalyi,copyright,WP:CP listed since 19 Dec; content was: '{{copyvio|url=http://www.brainchannels.com/thinker/mihaly.html}}'
Einstein-Rosen Bridge,copyright,"Listed on WP:CP since 18 Dec, will be a redirect to [[Wormhole]] - content was: '{{copyvio|url=http://www.earth62.net/whatis/enstienbridge.htm}}'"
10broad36,copyright,WP:CP listed since 21 Dec; content was: '{{copyvio|url=http://www.ssiltd.co.uk/glossary/details.asp?item=371}}'
John Hemming (politician),copyright,"WP:CP listed since 21 Dec; content was: '{{copyvio|url=http://www.yardley.libdems.org.uk/john}}[[User:Estel|Estel ]] [[User_talk:Estel|(talk)]] 14:28, Dec 21, 2004 (UTC) formalising [[User:P...'"
Kavka's toxin puzzle,copyright,Listed on WP:CP since 22 Dec; content was: '{{copyvio|url=http://members.aol.com/kiekeben/toxin.html}}'
Kuk Sool Won,copyright,Listed WP:CP since 22 Dec; this was the second (different) copyvio at this title in a month. content was: '{{copyvio|url=http://www.kuksoolgreaterrochester.com/about.htm}}'
Law of conservation of information,copyright,WP:CP listed since 24 Dec; content was: '{{copyvio|url=http://www.oridream.com/infor_lawnew_1.htm}}'
Eddie August Schneider,copyright,WP:CP listed since 26 Dec; content was: '{{copyvio|url=http://www.ancientfaces.com/Family/stories/details/index.cfm?940}}'
List of top-grossing movies in the United States,copyright,WP:CP listed since Deccontent was: '{{copyvio|url=http://movies.yahoo.com/boxoffice-alltime/rank.html}}'
Tanoli,copyright,WP:CP listed since Deccontent was: '{{copyvio|url=http://www.apnamansehra.com/people.asp}}'
John R. Hauser,copyright,WP:CP listed since December; content was: '{{copyvio|url=http://www.ams-inc.com/aboutus/john.htm}}'
Booz Allen Hamilton,copyright,WP:CP listed since December; content was: '{{copyvio|url=http://www.valuebasedmanagement.net/consultants_boozallenhamilton.html}}'
Andrew Smith Hallidie,copyright,"WP:CP listed since December; content was: '{{copyvio1}}:http://www.geocities.com/cable_car_guy/html/ccwho.html{{copyvio2}}Thanks, [[User:Evil saltine|Evil saltine]] 22:56, 18 Dec 2003 (UT...'"
Movin' Out (musical),copyright,"WP:CP listed since December; content was: '{{copyvio|url=http://movingout.uvision.net/about_plot2.html}}[[User:Goobergunch|Goobergunch]]|[[User talk:Goobergunch|?]] 20:57, 27 Dec 2004 (UTC)'"
Maersk Sealand,copyright,WP:CP since 1 Jan; content was: '{{copyvio|http://www.omzest.com/maersk.htm}}'
SAP NetWeaver,copyright,WP:CP listed since 4 Jan; content was: '{{copyvio|url=http://javaboutique.internet.com/articles/NetWeaver/}}'
Mirza Masroor Ahmad,copyright,WP:CP listed since 5 Jan: content was: '{{copyvio|url=http://www.alislam.org/khilafat/fifth/index.html}}'
Carter Beauford,copyright,"WP:CP listed since 12 Jan; content was: '{{copyvio|url=http://academic.strose.edu/academic/avitabile/cis111/musician/schwarz4/schwarz4/carter.htm}}[[User:Niteowlneils|Niteowlneils]] 01:37, 1...'"
Paul Rusesabagina,copyright,WP:CP listed since 10 Jan; content was: '{{copyvio|url=http://www.hrw.org/reports/1999/rwanda/Geno15-8-01.htm}}'
Kamen Rider Tiger,copyright,WP:CP listed since 17 Jan; content was: '{{copyvio|url=http://members.fortunecity.com/jillun/ryuuki/tiger.html}}'
Council on Hemispheric Affairs,copyright,"Listed on WP:CP since 19 January; content was: '{{copyvio|http://www.coha.org/About%20Us/About%20Coha.htm}}  [[User:Rje|Rje]] 02:15, Jan 19, 2005 (UTC)'"
Kamal Nath,copyright,copyvio
Ideographic Rapporteur Group,copyright,"copyvio - claimed permission request, but no action in almost two months"
Knights Of Pythias,copyright,content was: '{{copyvio|url=http://www.pythias.org/pythstry.html}}'
Roger Guillemin,copyright,"Listed on WP:CP since 23 Jan; content was: '{{copyvio|url=http://nobelprize.org/medicine/laureates/1977/guillemin-autobio.html}}[[User:Niteowlneils|Niteowlneils]] 00:13, 23 Jan 2005 (UTC)'"
"Norwich School, Norwich",copyright,"copyvio, listed since Feb 2, 2005. content was: '{{copyvio|url=http://www.norwich-school.org.uk/information/heritage.html}}'"
"John Boyle, 14th Earl of Cork",copyright,WP:CP listed since Jan; content was: '{{copyvio}}'
Mp3 files,copyright,"WP:CP since 2/19, content was: '{{copyvio|url=http://electronics.howstuffworks.com/mp3.htm/printable}}'"
I Threes,copyright,deleting to remove copyvio in history; article incorrectly updated directly; I Threes/Temp will replace it shortly
Herbfarm,copyright,Listed on [[WP:CP]] since Feb 25. content was: '{{copyvio|url=http://www.herbfarm.com/HfHistory1.tmpl?Session=%5BSession%5D&Cart=1096196510591643&WidthX=800&Src=%5BSrc%5D}}'
Von,copyright,"Listed on [[WP:CP]] since Feb 28. content was: '{{copyvio|url=http://worldroots.com/brigitte/royal/germannobility.htm}}  [[User:TrueGnu|TrueGnu]] 09:28, 28 Feb 2005 (UTC)'"
Central State University,copyright,Listed on [[WP:CP]] since March 3. content was: '{{copyvio|url=http://www.centralstate.edu/legacy/about/history.html}}'
