article,first main,first talk,reason,comment
"""Slim Jim"" Iverson",20101106042742,20081129124226,unknown,
"""Strike South"" Group",20050404180410,20050402003249,unknown,
"""Them"" (King Diamond album)",20081004195713,20051022194518,unknown,
"""a bug's Land""",20150105090333,20120208224253,unknown,
%s,20050307031616,20041208002912,unknown,
'00 (album),20150403115802,20111017064310,unknown,
'76,20140618071108,20090415150159,unknown,
'80-'85,20060311195350,20040916210948,unknown,
(-)-2β-Carbomethoxy-3β-phenyltropane,20081018123122,20070421024819,unknown,
(29298) 1993 SA14,20160220154501,20110731115007,unknown,
(4881) 1975 XJ,20160220145439,20100627082115,unknown,
(7675) Gorizia,20170117145841,20170107212255,unknown,
(Not Just) Knee Deep,20050914033244,20050513024959,unknown,
(R)-3-amino-2-methylpropionate-pyruvate transaminase,20110320220811,20071204024055,unknown,
(RS)-CPCA,20090917205438,20070505112024,unknown,
(Re) Assignment,20170123193453,20160427100025,unknown,
(Your Love Keeps Lifting Me) Higher and Higher,20061107231030,20060823221916,unknown,
(glutamate-ammonia-ligase) adenylyltransferase,20110321070226,20071212210301,unknown,
***,20050205042143,20041003093810,unknown,
****: Live in Phoenix,20090106000554,20080302033301,unknown,
-ane,20061028062138,20060612144442,unknown,
...y no se lo tragó la tierra,20131121174801,20110307032840,split from …y no se lo tragó la tierra,
.257 Roberts,20070803233041,20070302235941,copyright,CSD G12: Copyright violation
.338 Lapua,20070711144831,20061012002255,unknown,
.408 Chey Tac,20121231005912,20070222093851,unknown,
.500 S&W,20070218004507,20060127050143,unknown,
.dmg,20080520043345,20051231071925,unknown,
.hack//Infection,20050613190848,20030819051350,unknown,
.xyz,20150811003510,20081013084141,unknown,
0DFx,20060321225916,20051027214449,unknown,
1 (The Beatles album),20151123010511,20140723041051,unknown,
1 E3 s,20100313144726,20071017141005,unknown,
1. FC Vöcklabruck,20091019133206,20081228215017,unknown,
10-20 system,20151213080613,20070505190332,unknown,
10332 Défi,20080905025648,20080420011508,split from 10332 Defi,
"103rd Ohio Volunteer Infantry Association Barracks (Sheffield Lake, Ohio)",20081018133830,20070722234757,unknown,
103rd Regiment,20160327132429,20070505190430,unknown,
106th Cavalry Group (United States),20081204062612,20081201063652,unknown,
106th Cavalry Regiment,20081201055045,20061117075747,unknown,
106th Street (Second Avenue Subway),20170104151033,20101107230456,unknown,
"107.7 FM Steinbach, Manitoba",20160824231946,20130727053509,unknown,
107P/Wilson–Harrington,20100112063040,20080707131102,unknown,
108 (band),20070727010826,20070712180334,copyright,"content was: '{{db-copyvio|url=http://www.rockdetector.com/officialbio,8.sm;jsessionid=5F413EB27119369AD40947BD0F212508}}'"
10:04,20150222023924,20080619204325,unknown,
10broad36,20050601063627,20050101004923,copyright,WP:CP listed since 21 Dec; content was: '{{copyvio|url=http://www.ssiltd.co.uk/glossary/details.asp?item=371}}'
"10th Battalion, CEF",20140816123040,20091203111509,unknown,
10th IIFA Awards,20120205085021,20090619162102,unknown,
10th Panzer Division (Germany),20120428023549,20061014142353,unknown,
10th Sri Lankan Parliament,20150821151429,20121221044014,unknown,
11-17-70,20080707191809,20041124043852,unknown,
112 (emergency telephone number),20051002032408,20021113125515,unknown,
116th Street (Second Avenue Subway),20170104151102,20101107230525,unknown,
118401 LINEAR,20061026022208,20060901134013,unknown,
118th Pennsylvania Infantry,20061022175508,20061014235601,unknown,
11th Aviation Group (United States),20070701180955,20060303212747,unknown,
11th Canadian Scout Jamboree,20161007182641,20070601083108,unknown,
12 Monkeys,20010924180109,20010903195328,great oops,
120th Airlift Wing,20140505002610,20070304001308,unknown,
