from,to,namespace,comment
Paul Erdos,Paul Erdős,0,titlelacksdiacritics
Terminator (movie),The Terminator,0,"The article is in the title of the film (per imdb), so it should be there, rather than with the disambiguator at the end"
"St. Mary's Church, Gdansk","St. Mary's Church, Gdańsk",0,diacritize
Operation lifeline sudan,Operation Lifeline Sudan,0,bad capitalisation
Péter Cardinal Erdo,Péter Cardinal Erdő,0,preventing technical limitations don't exist any more
Lovcen,Lovćen,0,Unicode
Petar Petrovic Njegos,Petar Petrović Njegoš,0,diacritics
Bozena Nemcova,Božena Němcová,0,
Jolanta Kwasniewska,Jolanta Kwaśniewska,0,
WWE Smackdown! vs. Raw,WWE SmackDown! vs. RAW,0,
Jan Lukasiewicz,Jan Łukasiewicz,0,
Presov,Prešov,0,
Charles-Michel d’Irumberry de Salaberry,Charles-Michel d'Irumberry de Salaberry,0,’  =>  '
"South High School, Minneapolis",South High School,0,shortening needlessly long name
Milovan Djilas,Milovan Đilas,0,diacritics
Goran Svilanovic,Goran Svilanović,0,diacritics
Oskemen,Öskemen,0,now possible thanks to MediaWiki 1.5
Julius Fucik,Julius Fučík,0,diacritics now supported
Zelazowa Wola,Żelazowa Wola,0,
Horní Benesov,Horní Benešov,0,diacritics now supported
Olympia press,Olympia Press,0,fixing red link
Calamine Lotion,Calamine lotion,0,"As per naming convention, caps"
Stereopathetic Soul Manure,Stereopathetic Soulmanure,0,Wrong Title
Photuris (biology),Photuris (genus),0,consistency with other genus articles
List of films noir,List of films noirs,0,spelling error
National Film School in Lodz,National Film School in Łódź,0,
Josif Rajacic,Josif Rajačić,0,diacritics
Stevan Supljikac,Stevan Šupljikac,0,diacritics
Definitions of music,Definition of music,0,MoS: Pages are plural only if the title is always plural
Janis Cardinal Pujats,Jānis Cardinal Pujāts,0,"Due to MediaWiki upgrade, technical limitations that prevented this article from having a correct title no longer exist."
Pom-Pom (fashion),Pompon,0,"the title needs to be at the correct spelling for the word; a common misspelling should be a redirect, not the main title"
Shaheen Air,Shaheen Air International,0,Name correction
"Reise, Reise (vol. 2)","Reise, Reise (Vol. 2)",0,
Earle Brown/Temp,Earle Brown,0,"move temp page to main page, since copyvio has been deleted"
Albion car ferry,Albion ferry,0,
Colegio Cesar Chavez,Colegio César Chávez,0,diacrits (per in-house use; see article
School pranks,List of school pranks,0,This page is a list; its title should indicate such
White-billed Buffaloo-Weaver,White-billed Buffalo-weaver,0,Typo in name
Eduard Cech,Eduard Čech,0,diacritic
Sho,Sho (disambiguation),0,Sho should be the musical instrument
Grand Duchess Maria Teresa of Luxembourg,"Maria Teresa, Grand Duchess of Luxembourg",0,Result of a [[WP:RM]]
German-American,German American,0,Result of a [[WP:RM]]
Elections in Taiwan,Elections in the Republic of China,0,title should reflect scope and purpose of article
Kinko's,FedEx Kinko's,0,"Should be moved, since the name changed almost a year and a half ago."
John Barlow (dismabiguation),John Barlow (disambiguation),0,dismabiguation
Dare To Be Stupid (album),Dare To Be Stupid,0,No disambiguation needed
Tulum,"Tulum, Quintana Roo",0,
Move Along (album),Move Along,0,Is there another Move Along that I do not know about
Chennai suburban,Chennai suburban railway,0,Chennai_suburban_railway is more reasonable and less ambiguous than Chennai suburban
"Tulum, Quintana Roo",Tulum,0,city article naming practice
Central High School,Central High School (disambiguation),0,Adds paranthetical disambiguation statement
Concert in Central Park by Simon and Garfunkel,The Concert in Central Park,0,
Wayne taylor,Wayne Taylor,0,Incorect capitalisation in name.
B. M. Srikanthaiah,B. M. Srikantaiah,0,spelling correction
Thanjavur District,Thanjavur district,0,second word District -> district
BlueDart Aviation,Blue Dart Aviation,0,Corrected - BlueDart is wrong!
Year 5 AD,5,0,standard
Osaka Municipal Subway Sakaisuji Line,Sakaisuji Line (Osaka),0,"shorten name, standardize"
Nika Turkovic,Nika Turković,0,diacritics
Dusan Radovic,Dušan Radović,0,diacritics
History of Film,History of film,0,"The ""f"" should be lower-case"
Lexus RX,Toyota Harrier,0,Following native-market naming scheme for models with multiple names
Scania,Skåne,0,Move to name in actual use.
David Carson,David Carson (graphic designer),0,make room for disambig page
Twi language,Twi,0,Twi is not ambiguous
Hurricane Emily (disambiguation),Hurricane Emily,0,Restoring previous alignment
Free Tibet,Free Tibet Campaign,0,
Megalomania (mental illness),Megalomania,0,Redundant disambiguation in title
Comparison of Torrent Clients,Comparison of BitTorrent clients,0,"BitTorrent is not Torrent. And why capitalize ""client""?"
Nollamara,"Nollamara, Western Australia",0,dab WA suburb
Native American,Native Americans,0,
Ignacy Daszynski,Ignacy Daszyński,0,mispunctuated
Primer (disambiguation),Primer,0,equal disambiguation
