article,first main,first talk
The Wind Blows (short story),20091107223404,20070615180406
Paul Tseng,20091108020728,20090811234450
Kavar,20091108142310,20050709151429
EastLink Television,20091108173651,20080519005232
Astrolatry,20091108182605,20081116233236
Vorweg RandstadRail station,20091108221910,20091026140935
"John Boyle, 14th Earl of Cork",20091109022821,20090127150438
Paul Reynolds (BBC journalist),20091109024422,20081012123010
Brandon Gough,20091109025518,20070324203419
Bill MacMillan (academic),20091109030306,20070303012530
Kingdom of Raigama,20091109061820,20091104000145
Paul Carnegie-Jones,20091109062852,20091108012513
Jane Corbin,20091109191333,20080823050305
Adjourned in contemplation of dismissal,20091109195743,20050825152050
A. F. W. Beauchamp Proctor,20091109231809,20060419215236
Mount Kramim,20091109232233,20091105010335
Mount Odem,20091109232350,20091105010513
Mount Hermonit,20091109232455,20091105010201
Mount Bnei Rasan,20091109232628,20091105010012
Hotel Detective,20091110144930,20081207102652
William W Schwarzer,20091110195353,20090305202423
Angelo Mariani (disambiguation),20091110215219,20090726131552
"Demas Adams House (Worthington, Ohio)",20091110221303,20070723010629
"Arendt-Seymour House (Canal Winchester, Ohio)",20091110221640,20070723020657
"Artz House (Dublin, Ohio)",20091110221653,20070723112112
"Alkire House (Westerville, Ohio)",20091110221726,20070723013441
Mount Bental,20091110225416,20090919165835
That's My Desire (1931 song),20091110225551,20070723230223
Joan Burke (Canadian politician),20091110232924,20080116135305
Universal Soldiers: The Next Generation,20091111113502,20090801214843
Finland–Norway relations,20091111143200,20081225111715
Monster Rancher (series),20091111152358,20060314195504
United Airways (Bangladesh),20091111172954,20070522121902
"Roberts Mound (Butler County, Ohio)",20091111181116,20070722195329
Buddhabhadra (disambiguation),20091111185516,20091107075844
Karachayevsky District,20091111191632,20060128002256
Northwind (disambiguation),20091111200048,20081127050155
Molina (disambiguation),20091111200103,20081126130807
Mike Leach (American football),20090903055606,20060816124626
John Anderson (Publisher),20091111224141,20091022212856
Brynild Anundsen (Publisher),20091111224201,20091020122313
One Fast Move or I'm Gone,20091112015147,20091110153110
Wakefield (disambiguation),20091112111202,20080106111547
Song of Songs (2005 film),20091112154721,20080314104419
The Beets (band),20091112183650,20090825052520
Crime Investigation Australia (TV series),20091112191118,20070905071808
Fiorano GT Challenge,20091112205731,20091105233612
Becoming (The 4400 episode),20091113090705,20080212021740
Terrible Swift Sword (The 4400 episode),20091113091445,20080212022645
Edward Acton (academic),20091113164326,20090826230736
William Otter,20091113172527,20081217171656
2009–10 Golden State Warriors season,20091113201627,20090812042538
Viluppuram (Lok Sabha constituency),20091114010730,20081216183712
Roe Type F,20091114013606,20071023154630
Robert Woof (disambiguation),20091114140933,20080618055523
Zone of the Enders (series),20091114164109,20080820161556
Joint Professional Military Education,20091114220044,20091027222926
"Hobson, Texas",20091114221047,20091106213851
Relationships among New York Giants soccer teams,20091115005502,20080226040253
"Kep, Cambodia",20080717213949,20070707090301
Heget,20070904100844,20060211230131
Daffyd ap Gruffydd,20041112040014,20041006065553
List of CPU power dissipation figures,20091115092114,20030417225502
Killing (disambiguation),20091115121545,20081124032450
Koolyanobbing,20091115123504,20061218161551
Wang Yujia,20091115151026,20060825065215
Jack Foley (disambiguation),20091115175437,20080623043531
Compound sentence (linguistics),20091115233923,20060516163526
"Agler-La Follette House (Franklin County, Ohio)",20091116025618,20070723012148
List of presidents of the united states,20091116133859,20091111031117
Michael Thompson (academic),20091116171308,20090907195629
Robert Perks,20091116173732,20081209175233
Fig Tree (disambiguation),20091116192709,20081121010340
The Time of My Life (disambiguation),20091116194416,20081130062342
The Circle (disambiguation),20091116194427,20081017194523
Richard le Scrope,20091116194659,20070406002428
Lists of Phi Iota Alpha Entities,20091116220724,20070422083319
The Idea of the Holy,20091117143311,20081215203828
Richard Davison (MP),20091117202835,20080409233643
Vocal Point (Brigham Young University),20091118021855,20080110004118
Romeo Santos,20051010053751,20050924172256
Ivan Lopukhin,20091118111506,20091102210354
Oleg Riabokon,20091118182145,20091106200621
Ram Madhvani,20091118183933,20090905114401
Albert Green (disambiguation),20091118224136,20081012133353
"Augspurger Grist Mill (Woodsdale, Ohio)",20091118224931,20070722150155
"Augspurger Schoolhouse (Woodsdale, Ohio)",20091118224937,20070722152627
Frederick Augspurger Farm (Ohio),20091118224943,20070722152719
"Anderson-Shaffer House (Hamilton, Ohio)",20091118224953,20070722150009
Samuel Augspurger Farm (Ohio),20091118225202,20070722152949
"Samuel Augspurger House (Woodsdale, Ohio)",20091118225207,20070722153039
Beckett-Manrod House (Ohio),20091118225215,20070722153220
"Benninghofen House (Hamilton, Ohio)",20091118225220,20070722153310
Henry P. Deuscher House (Ohio),20091118225225,20070722153630
Christian Ehresman Farm (Ohio),20091118225357,20070722153951
Fitz Randolph-Rogers House (Ohio),20091118225404,20070722191938
"Edgeton (Hamilton, Ohio)",20091118225410,20070722153900
"James P. Hidley Cottage (Reily, Ohio)",20091118225513,20070722193031
"Matthew Hueston House (Butler County, Ohio)",20091118225518,20070722193551
"Herron Gymnasium (Oxford, Ohio)",20091118225525,20070722192940
"Lane-Hooven House (Hamilton, Ohio)",20091118230156,20070722194232
"Elias Kumler House (Oxford, Ohio)",20091118230200,20070722194142
"John Kennel Jr. Farm (Butler County, Ohio)",20091118230206,20070722194052
"John Kennel Sr. Farm (Butler County, Ohio)",20091118230223,20070722194001
